Unnamed: 0,week_of_outbreak,state_ut,district,Disease,Cases,Deaths,day,mon,year,Latitude,Longitude,preci,LAI,Temp
1,2nd week,Maharashtra,Gadchiroli,Malaria,7.0,2.0,10,1,2022,19.75907035,80.16228073,0.007479298714,9.0,299.97
74,18th week,Gujarat,Sabarkantha,Dengue,4.0,3.0,26,4,2022,24.0294885,73.0459884,0.0004518239242,7.0,318.4766666
79,18th week,Jharkhand,East Singhbhum,Malaria,37.0,1.0,21,4,2022,22.8092139,86.2091549,0.04142995706,7.0,311.8366666
91,19th week,Maharashtra,Jalgaon,Dengue,9.0,1.0,6,5,2022,20.84288265,75.52612464,0.0001810070481,4.0,319.8166666
118,21st week,Uttar Pradesh,Sant Ravidas Nagar,Acute Diarrhoeal Disease,21.0,1.0,21,5,2022,25.3560294,82.50057725,0.03582953885,4.0,311.22400000000005
121,21st week,Punjab,Patiala,Acute Diarrhoeal Disease,218.0,2.0,11,4,2022,30.2090874,76.33987209,0.0004382394791,5.0,311.5233334
127,22nd week,Karnataka,Raichur,Acute Diarrhoeal Disease,321.0,3.0,29,5,2022,16.083333,77.166667,0.0016348589,4.0,310.876
132,22nd week,Madhya Pradesh,Narsinghpur,Acute Diarrhoeal Disease,136.0,2.0,31,5,2022,22.9467047,79.1980228,0.02829364721,9.0,308.0733334
134,22nd week,Maharashtra,Gadchiroli,Malaria,310.0,1.0,29,5,2022,19.75907035,80.16228073,0.00876199396,10.0,311.0866666
143,22nd week,Uttar Pradesh,Siddharth Nagar,Acute Diarrhoeal Disease,30.0,1.0,31,5,2022,27.25264095,82.86964796,0.05871040047,5.0,308.695
158,23rd week,Maharashtra,Chandrapur,Malaria,3.0,1.0,4,6,2022,20.0967555,79.50454752,0.006238415131,6.0,311.32
168,23rd week,Karnataka,Bbmp,Cholera,169.0,1.0,31,5,2022,13.058135,77.50646228,0.04676073172,12.0,302.68333340000004
172,24th week,Chhattisgarh,Balod,Acute Diarrhoeal Disease,8.0,1.0,15,6,2022,20.73218365,81.14335738,0.09105455212,9.0,312.90000000000003
174,24th week,Jharkhand,East Singhbhum,Acute Diarrhoeal Disease,21.0,1.0,11,6,2022,22.8092139,86.2091549,0.08390716839,10.0,306.504
181,24th week,Karnataka,Chikkaballapur,Dengue,28.0,1.0,8,6,2022,13.6102243,77.5127721,0.3458920887,10.0,304.065
182,24th week,Madhya Pradesh,Rewa,Acute Diarrhoeal Disease,20.0,1.0,12,6,2022,24.756718,81.65493469,0.0004349343701,4.0,315.416
183,24th week,Maharashtra,Gondia,Malaria,47.0,1.0,13,6,2022,21.455228,80.1962729,0.02882213092,7.0,311.61
186,24th week,Uttar Pradesh,Kaushambi,Acute Diarrhoeal Disease,8.0,2.0,16,6,2022,25.53609455,81.44672839,0.01293798244,5.0,311.985
193,3rd week,Karnataka,Ballari,Acute Diarrhoeal Disease,47.0,1.0,20,1,2021,15.2485413,76.8323648,2.27e-05,8.0,303.2133334
194,3rd week,Maharashtra,Gadchiroli,Malaria,2.0,1.0,20,1,2021,19.75907035,80.16228073,2.27e-05,13.0,302.15000000000003
199,4th week,Maharashtra,Gadchiroli,Malaria,10.0,1.0,26,1,2021,19.75907035,80.16228073,7.83e-06,14.0,302.7
208,5th week,Maharashtra,Thane,Malaria,2.0,1.0,6,1,2021,19.1943294,72.9701779,0.02576509704,12.0,302.99
209,5th week,Meghalaya,East Khasi Hills,Acute Diarrhoeal Disease,5.0,2.0,27,1,2021,25.40237355,91.83254097,0.01593984196,25.0,291.3166666
221,8th week,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,24.0,1.0,20,2,2021,15.8309251,78.0425373,0.007255567001,8.0,306.6
225,8th week,Madhya Pradesh,Dhar,Acute Diarrhoeal Disease,10.0,1.0,12,2,2022,22.5,75.25,8.29e-05,13.0,301.496
257,15th week,West Bengal,South 24 Parganas,Acute Diarrhoeal Disease,120.0,1.0,4,4,2021,22.5760669,88.42006758,0.02131883061,11.0,305.42
262,16th week,Maharashtra,Ahmednagar,Chikungunya,3.0,1.0,23,3,2021,19.1627725,74.8580243,0.04168389914,6.0,309.66
264,16th week,Maharashtra,Satara,Dengue,31.0,1.0,5,4,2021,17.63612885,74.29827808,7.5e-05,5.0,317.92
270,19th week,Maharashtra,Thane,Malaria,2.0,1.0,2,5,2021,19.1943294,72.9701779,0.1122390997,10.0,314.216
276,20th week,Maharashtra,Thane,Dengue,2.0,1.0,29,4,2021,19.1943294,72.9701779,0.1043926176,9.0,315.4666666
279,22nd week,Gujarat,Surat,Acute Diarrhoeal Disease,108.0,6.0,30,5,2021,21.19177615,72.95441578,0.04020598334,10.0,302.808
284,22nd week,Kerala,Ernakulam,Dengue,24.0,1.0,5,5,2021,9.98408,76.2741457,0.6079043601,28.0,304.5
304,25th week,Maharashtra,Kolhapur,Dengue,5.0,3.0,15,6,2021,16.7028412,74.2405329,0.4365472546,7.0,305.93
311,26th week,Punjab,Patiala,Acute Diarrhoeal Disease,20.0,1.0,29,6,2021,30.2090874,76.33987209,0.02640826338,4.0,306.4133334
323,27th week,Maharashtra,Amravati,Dengue,3.0,1.0,1,7,2021,20.9521098,77.7333168,0.2668179381,4.0,312.8466666
328,28th week,Haryana,Panchkula,Cholera,440.0,1.0,13,7,2021,30.7137692,76.868276,0.453999401,8.0,305.1
334,29th week,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,41.0,3.0,25,7,2021,15.8309251,78.0425373,1.222079249,6.0,300.2
337,29th week,Haryana,Panchkula,Cholera,511.0,1.0,13,7,2021,30.7137692,76.868276,0.453999401,8.0,305.1
